training_days,fold_id,panel_a_fold_id,alpha,validation_variance,eigen_floor_activated
504,11,27,0.1,1.7970106807224698e-05,False
504,11,27,0.25,1.7194629171259717e-05,False
504,11,27,0.5,1.7374725635352156e-05,False
504,11,27,0.75,1.86144977119072e-05,False
504,11,27,0.9,2.0977161521063027e-05,False
504,12,28,0.0,5.03282088337007e-05,False
504,12,28,0.1,5.1255548187964216e-05,False
504,12,28,0.25,5.3601266878787946e-05,False
504,12,28,0.5,5.649688145840269e-05,False
504,12,28,0.75,5.848945184230213e-05,False
504,12,28,0.9,6.09177805779333e-05,False
504,13,29,0.0,3.7656633610204044e-05,False
504,13,29,0.1,2.773871844766031e-05,False
504,13,29,0.25,2.1297225012916946e-05,False
504,13,29,0.5,1.738823702905723e-05,False
504,13,29,0.75,1.6940519469049973e-05,False
504,13,29,0.9,1.8909092134104228e-05,False
504,14,30,0.0,7.378676450734567e-05,False
504,14,30,0.1,6.342728501102636e-05,False
504,14,30,0.25,5.822055254269496e-05,False
504,14,30,0.5,5.57693587423105e-05,False
504,14,30,0.75,5.4810891593468406e-05,False
504,14,30,0.9,5.5714229717753583e-05,False
504,15,31,0.0,6.112473811474738e-05,False
504,15,31,0.1,4.985153914296479e-05,False
504,15,31,0.25,4.462542137634666e-05,False
504,15,31,0.5,4.419151285972809e-05,False
504,15,31,0.75,4.801223343896306e-05,False
504,15,31,0.9,5.3221844057449664e-05,False
504,16,32,0.0,0.0007308732570751984,False
504,16,32,0.1,0.0006818798781728847,False
504,16,32,0.25,0.0006363742023886764,False
504,16,32,0.5,0.000585828197088817,False
504,16,32,0.75,0.0005442573129429541,False
504,16,32,0.9,0.0005212435549650516,False
504,17,33,0.0,0.0001008227588655107,False
504,17,33,0.1,8.085777344835635e-05,False
504,17,33,0.25,7.590781606865993e-05,False
504,17,33,0.5,7.824163252923957e-05,False
504,17,33,0.75,8.601538165161108e-05,False
504,17,33,0.9,0.00010075451889436426,False
504,18,34,0.0,0.0001017923454486828,False
504,18,34,0.1,8.77393015584179e-05,False
504,18,34,0.25,8.169519712638746e-05,False
504,18,34,0.5,8.148034747532541e-05,False
504,18,34,0.75,8.856127512007705e-05,False
504,18,34,0.9,0.0001018183758359189,False
504,19,35,0.0,8.04399450619888e-05,False
504,19,35,0.1,5.1701466142929634e-05,False
504,19,35,0.25,3.988224703187948e-05,False
504,19,35,0.5,3.546842455088649e-05,False
504,19,35,0.75,3.816440666637605e-05,False
504,19,35,0.9,4.726407952091571e-05,False
504,20,36,0.0,9.112511554778295e-05,False
504,20,36,0.1,7.682285673849358e-05,False
504,20,36,0.25,6.645420905558979e-05,False
504,20,36,0.5,6.094784738312366e-05,False
504,20,36,0.75,6.350763980025371e-05,False
504,20,36,0.9,7.125080565881767e-05,False
504,21,37,0.0,0.0001319494527291225,False
504,21,37,0.1,0.00012559174104571149,False
504,21,37,0.25,0.00012510821210395175,False
504,21,37,0.5,0.00013006798858785748,False
504,21,37,0.75,0.00013793953764611422,False
504,21,37,0.9,0.00014696622933158787,False
