panel,training_days,metric,reference,comparison,folds,mean_difference,standard_error,bootstrap_ci_lower,bootstrap_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,sign_flip_p_raw,sign_flip_p_familywise,fraction_reference_better
B,504,realized_variance,residual_aware_qr,pca_plus_two,21,-2.1892284608170086e-05,8.368829592873398e-06,-4.042511788364565e-05,-9.351293892997011e-06,-4.2241482045304854e-05,-1.543087171035322e-06,0.00039998000099995,0.04044797760111994,0.9047619047619048
B,504,realized_variance,residual_aware_qr,poet_soft_c0_5,21,3.7258165253501063e-06,4.302762908865373e-06,-2.74452839950506e-06,1.3526484053124773e-05,-6.7717840158615725e-06,1.4223417066561785e-05,0.5510224488775561,0.9527023648817559,0.5714285714285714
B,504,realized_variance,residual_aware_qr,ridge_10pct,21,2.4018205344962556e-06,2.156384274199005e-06,-1.40954196193284e-06,7.031424771211814e-06,-2.9107550936977665e-06,7.714396162690278e-06,0.2893355332233388,0.8198090095495225,0.5714285714285714
B,504,realized_variance,residual_aware_qr,sample_covariance,21,-7.132900567861959e-06,3.323893247292064e-06,-1.316495691638119e-05,-2.2881346678921413e-07,-1.52275831008087e-05,9.617819650847808e-07,0.044047797610119496,0.1376431178441078,0.8095238095238095
B,504,realized_variance,residual_aware_qr,structured_q0,21,-2.3445302347914947e-05,5.821572279277173e-06,-3.558754330708474e-05,-1.3555381644910825e-05,-3.755864141372159e-05,-9.331963282108303e-06,4.999750012499375e-05,0.0004999750012499375,0.8571428571428571
B,504,qlike,residual_aware_qr,equal_weight,21,0.7681446948741449,0.8814461472394262,-0.44980832449444863,2.6675964414529605,-1.3512866935154215,2.887576083263711,0.5864206789660517,0.9551522423878807,0.6666666666666666
B,504,qlike,residual_aware_qr,ledoit_wolf,21,0.2689522759664656,0.2501585807541102,-0.13085314321604702,0.8182882342630109,-0.3427420951970431,0.8806466471299743,0.32058397080145995,0.831758412079396,0.6190476190476191
B,504,qlike,residual_aware_qr,nonlinear_shrinkage_qis,21,0.5677742863421662,0.29578488282708165,0.07591872784204384,1.1992989452025886,-0.1524618703410019,1.2880104430253343,0.027148642567871608,0.21293935303234837,0.3333333333333333
B,504,qlike,residual_aware_qr,oas_shrinkage,21,0.09465307004126203,0.2490537829340109,-0.2970925099266234,0.6430173811388489,-0.5152786083469448,0.7045847484294688,0.7995100244987751,1.0,0.7142857142857143
B,504,qlike,residual_aware_qr,pca_matched,21,-5.679302127152484,3.161590937966555,-12.325120728378637,-1.8784695193840169,-13.317524820159925,1.9589205658549576,4.999750012499375e-05,0.30503474826258686,1.0
B,504,qlike,residual_aware_qr,pca_plus_two,21,-1.1744490445095654,0.420723872924918,-2.0238480925681768,-0.37457628807209986,-2.200982755691296,-0.14791533332783513,0.0050997450127493625,0.008699565021748913,0.9047619047619048
B,504,qlike,residual_aware_qr,poet_soft_c0_5,21,0.20498608210121055,0.2526717196765598,-0.21091589987043882,0.7505735899632023,-0.4135379452154115,0.8235101094178325,0.47407629618519076,0.9741512924353782,0.6666666666666666
B,504,qlike,residual_aware_qr,ridge_10pct,21,0.5553461619605576,0.2789635507468795,0.09162132649392096,1.149915773891234,-0.12352501069677468,1.23421733461789,0.015949202539873007,0.1631918404079796,0.47619047619047616
B,504,qlike,residual_aware_qr,sample_covariance,21,-0.3134262324325428,0.24505124350381427,-0.6880326003264948,0.23351456507778848,-0.9154123338924578,0.28855986902737213,0.23258837058147092,0.631918404079796,0.8571428571428571
B,504,qlike,residual_aware_qr,structured_q0,21,-5.42653343686016,2.741881633900222,-11.168584567726256,-2.137502946610765,-12.045464233699914,1.1923973599795934,4.999750012499375e-05,0.17139143042847857,0.9523809523809523
