panel,horizon_sessions,fold,train_start,train_end,test_start,test_end,selected_count,selected_drivers,baseline_s_f,baseline_s_inf,baseline_effective_rank,selected_s_f,selected_s_inf,selected_effective_rank,delta_s_f,relative_reduction_s_f
equities_150,1,14,2017-10-09,2019-10-10,2019-10-11,2020-04-13,2,Cboe Volatility Index | AUD-JPY X-RATE,0.61450757698705,0.9623543346066358,8.029752506314722,0.5228815419065794,0.9597068090405774,11.473159031139067,-0.0916260350804706,0.1491048093006695
equities_150,1,15,2018-04-11,2020-04-13,2020-04-14,2020-10-09,5,BRAZIL IBOVESPA INDEX | Cboe Volatility Index | Generic 1st 'Z ' Future | U.S. Corporate High Yield | US Generic Govt 10 Yr,0.4394392725417993,0.9363586797869624,14.874108760743518,0.2532582496241742,0.9043028534978164,28.91903991716839,-0.1861810229176251,0.4236786162527511
equities_150,1,16,2018-10-09,2020-10-09,2020-10-12,2021-04-16,5,BRAZIL IBOVESPA INDEX | Cboe Volatility Index | Generic 1st 'Z ' Future | U.S. Corporate High Yield | US Generic Govt 10 Yr,0.3011215772205295,0.8835090299596032,25.56657212410448,0.2300312344487388,0.8422426718509651,34.27257258639546,-0.0710903427717906,0.2360851833600981
equities_150,1,17,2019-04-11,2021-04-16,2021-04-19,2021-10-15,3,BRAZIL IBOVESPA INDEX | Generic 1st 'Z ' Future | Cboe Volatility Index,0.3077855684195733,0.9296944785463692,26.68943198635355,0.2674344072666359,0.909398748154706,34.68413989681998,-0.0403511611529374,0.1311015372167505
equities_150,1,18,2019-10-11,2021-10-15,2021-10-18,2022-04-19,3,BRAZIL IBOVESPA INDEX | Generic 1st 'Z ' Future | Cboe Volatility Index,0.3367109559498035,0.9448540684425328,23.715442980023337,0.2569727843808487,0.9202427703108934,32.55584986058337,-0.0797381715689548,0.2368149006141696
equities_150,1,19,2020-04-14,2022-04-19,2022-04-20,2022-10-20,3,Cboe Volatility Index | IBEX 35 INDEX | S&P/BMV IPC,0.4969222107108784,0.9329268864531036,14.67953797380128,0.3073670795343129,0.9226180881260074,30.182576132645337,-0.1895551311765655,0.3814583592578706
equities_150,1,20,2020-10-12,2022-10-20,2022-10-21,2023-04-24,3,Cboe Volatility Index | U.S. Corporate High Yield | IBEX 35 INDEX,0.3793937186677973,0.9105965348231982,23.13693770937016,0.3230818216566828,0.9128559451343076,29.37536812607464,-0.0563118970111145,0.1484260129789392
equities_150,5,0,2010-07-13,2012-10-11,2012-10-18,2013-04-24,3,FTSE 100 INDEX | S&P/BMV IPC | Cboe Volatility Index,0.3408444725586253,0.869082785416782,14.77840500021494,0.2522246404109122,0.8729848260780018,18.70450892708512,-0.088619832147713,0.2600007900449975
equities_150,5,1,2011-03-31,2013-04-24,2013-05-01,2013-10-28,4,FTSE 100 INDEX | S&P/BMV IPC | Cboe Volatility Index | Generic 1st 'GX' Future,0.381637002058383,0.9271661253986412,14.76258825750092,0.2355777464245276,0.911911314660647,19.314430958280788,-0.1460592556338554,0.3827177523302921
equities_150,5,2,2011-10-07,2013-10-28,2013-11-04,2014-05-08,3,DAX INDEX | S&P/BMV IPC | Cboe Volatility Index,0.302384560011841,0.8737169833579824,17.165239627997774,0.2559773668496606,0.8757150197864941,18.34044764063977,-0.0464071931621803,0.1534707762868684
equities_150,5,3,2012-04-16,2014-05-08,2014-05-15,2014-11-11,2,DAX INDEX | Cboe Volatility Index,0.3721197491236025,0.8993873514791785,13.223684100213855,0.2388040821989108,0.8951935896300021,17.5731903858986,-0.1333156669246916,0.3582601225510604
