design,rep,method,frobenius_relative,realized_variance,calibration
ar1_gaussian,21,ledoit_wolf,0.9132330918205088,3.3123933926392134e-06,1.4699235699643936
ar1_gaussian,21,oas,0.9130183454445588,3.311502871159471e-06,1.4679319172490908
ar1_gaussian,21,pca4,0.9352928725671987,3.086800841602546e-06,1.675760364003562
ar1_gaussian,21,structured_q0,0.9282796003358074,3.0870449497792446e-06,1.5761118438936326
ar1_gaussian,21,residual_qr_50,0.9285088883199983,3.120114429401268e-06,1.4977327145503372
ar1_gaussian,22,sample,0.471584053938089,3.183262711871318e-06,1.4886819124505186
ar1_gaussian,22,ledoit_wolf,0.4658255048548015,3.1239259118110636e-06,1.3775337090819204
ar1_gaussian,22,oas,0.4658329221971256,3.124007156475903e-06,1.377693430302535
ar1_gaussian,22,pca4,0.4771127248939707,2.9056593967436353e-06,1.3322147380577773
ar1_gaussian,22,structured_q0,0.47011151002901436,2.8597795654016004e-06,1.2268801438362444
ar1_gaussian,22,residual_qr_50,0.47064502262449415,2.91570583849141e-06,1.2688004869100062
ar1_gaussian,23,sample,0.3206924024836573,1.8127027696997375e-06,1.3073292552147417
ar1_gaussian,23,ledoit_wolf,0.3193703865335223,1.7636569260129498e-06,1.172530751259186
ar1_gaussian,23,oas,0.3193340199469799,1.762026044901254e-06,1.1679074976003283
ar1_gaussian,23,pca4,0.3195346418836649,1.548080073146135e-06,1.002286483992193
ar1_gaussian,23,structured_q0,0.3206374526661875,1.5235411043759434e-06,0.927207753536299
ar1_gaussian,23,residual_qr_50,0.3206015464407866,1.5826503012314324e-06,1.0040492576050402
ar1_gaussian,24,sample,0.46295815544987057,3.7185231260072136e-06,2.2363578615084565
ar1_gaussian,24,ledoit_wolf,0.4547233382738886,3.6448776696323218e-06,2.010505656762839
ar1_gaussian,24,oas,0.4541768718018076,3.6400252378992913e-06,1.9945234358808162
ar1_gaussian,24,pca4,0.46759005431018147,3.40406492087376e-06,2.155359892221203
ar1_gaussian,24,structured_q0,0.4628951296951711,3.3989751141524174e-06,2.023928292552559
ar1_gaussian,24,residual_qr_50,0.46286092558121134,3.4508012342769684e-06,1.998421558487188
ar1_gaussian,25,sample,0.35188385325967075,2.1571541853166116e-06,1.1342426174330251
ar1_gaussian,25,ledoit_wolf,0.3516413025209733,2.1062457589049683e-06,1.032413096496972
ar1_gaussian,25,oas,0.3516432580968299,2.1048016957627096e-06,1.029426382981317
ar1_gaussian,25,pca4,0.352524538857603,1.7670740050365904e-06,0.8837838589724436
ar1_gaussian,25,structured_q0,0.3505955593802132,1.7591392664591693e-06,0.8219163414495718
ar1_gaussian,25,residual_qr_50,0.35108820033968147,1.8825055857307175e-06,0.9028558989924349
ar1_gaussian,26,sample,0.5254742963434923,1.918807159950112e-06,0.9344646036599725
ar1_gaussian,26,ledoit_wolf,0.5238520853011647,1.856031831782384e-06,0.8516862892887731
ar1_gaussian,26,oas,0.5237802182618939,1.852821370457303e-06,0.8473335495252854
ar1_gaussian,26,pca4,0.5253310917955308,1.4311139822395903e-06,0.7016599386779154
ar1_gaussian,26,structured_q0,0.525088257110548,1.4397097935809975e-06,0.6582480903744681
ar1_gaussian,26,residual_qr_50,0.5251750656296057,1.5688554443269285e-06,0.7125988384111366
ar1_gaussian,27,sample,0.6426576428038199,2.587258529398251e-06,1.0387135472818991
ar1_gaussian,27,ledoit_wolf,0.6326161251932814,2.556584015267167e-06,0.9701820365191
ar1_gaussian,27,oas,0.6324667359383158,2.556092178525356e-06,0.9690277068040081
ar1_gaussian,27,pca4,0.647270030673936,2.3505855173062705e-06,0.9921729530199497
ar1_gaussian,27,structured_q0,0.6423633775328954,2.348089023388481e-06,0.9258047679892968
ar1_gaussian,27,residual_qr_50,0.6424147638031238,2.412531116085405e-06,0.9349192530550375
ar1_gaussian,28,sample,0.5385491545965089,2.318538864840295e-06,1.3300490133560967
ar1_gaussian,28,ledoit_wolf,0.5414946599496533,2.2857949058615065e-06,1.2315882732716534
ar1_gaussian,28,oas,0.5416425999115553,2.2841519114469545e-06,1.226384114300137
ar1_gaussian,28,pca4,0.5349214911966687,2.093164803126386e-06,1.1693939459325586
ar1_gaussian,28,structured_q0,0.5386188335811724,2.094429440358917e-06,1.0906894359334687
ar1_gaussian,28,residual_qr_50,0.5385276505925328,2.14541076271339e-06,1.1390248413290753
ar1_gaussian,29,sample,0.4002178584819267,2.1910783519855355e-06,1.170582625553107
ar1_gaussian,29,ledoit_wolf,0.40558565456571055,2.1463945240297194e-06,1.0677654985393377
ar1_gaussian,29,oas,0.40545775111949317,2.147448100138141e-06,1.0703116561276027
ar1_gaussian,29,pca4,0.39538995611696276,1.888351840031846e-06,0.9703654964478151
ar1_gaussian,29,structured_q0,0.39950813239791166,1.8744589658094693e-06,0.9048866464218317
ar1_gaussian,29,residual_qr_50,0.3997926166465331,1.955252636545921e-06,0.9630068694684573
ar1_gaussian,30,sample,0.37640262152076637,1.7481770752395191e-06,0.999188113187968
ar1_gaussian,30,ledoit_wolf,0.38094435922348907,1.7321912111376917e-06,0.9258787353980129
ar1_gaussian,30,oas,0.38122436844548874,1.7312241258781207e-06,0.9212078432837684
ar1_gaussian,30,pca4,0.37179422573200205,1.689010992552496e-06,0.8835811285301258
ar1_gaussian,30,structured_q0,0.37680729162075166,1.6700376848322245e-06,0.8137932961754021
ar1_gaussian,30,residual_qr_50,0.37646718009549807,1.6763999029827086e-06,0.8580708298325894
