fold_id,training_days,training_start,training_end,test_start,test_end,panel_a_fold_id,selected_count,selected_drivers,method,chosen_alpha,portfolio_constraint,predicted_variance,realized_variance,realized_annualized_volatility,realized_to_predicted_ratio,qlike,gross_exposure,max_abs_weight,turnover,initial_formation,eigen_floor_activated,net_mean_return_5bps,net_annualized_volatility_5bps,rebalance_cost_5bps,net_mean_return_10bps,net_annualized_volatility_10bps,rebalance_cost_10bps,net_mean_return_20bps,net_annualized_volatility_20bps,rebalance_cost_20bps
3,504,2011-09-21T00:00:00,2013-09-24T00:00:00,2013-09-25T00:00:00,2014-03-26T00:00:00,18,4,Cboe Volatility Index | S&P/BMV IPC | DAX INDEX | Brazilian Real Spot,structured_q0,,unconstrained,8.421839578268e-06,3.7201741673197153e-05,0.09682375174328706,4.417294027921618,-7.267388248422116,2.2245665214516275,0.07619950356684876,0.7801931400560742,False,False,0.00035428402350175573,0.09690356623862646,0.0003900965700280371,0.00035118801897772374,0.09698645317371826,0.0007801931400560741,0.0003449960099296596,0.09716141261906998,0.0015603862801121483
3,504,2011-09-21T00:00:00,2013-09-24T00:00:00,2013-09-25T00:00:00,2014-03-26T00:00:00,18,4,Cboe Volatility Index | S&P/BMV IPC | DAX INDEX | Brazilian Real Spot,residual_aware_qr,0.75,unconstrained,1.5678518887267654e-05,2.7017812894778863e-05,0.08251356766910684,1.7232375767789978,-9.339981429444697,3.0231424856560327,0.11106528512242157,1.9776843252850729,False,False,0.00044243910857202185,0.08266261193918653,0.0009888421626425364,0.0004345911549002558,0.08283499991563523,0.0019776843252850727,0.00041889524755672346,0.08324920728586077,0.003955368650570145
4,504,2012-03-22T00:00:00,2014-03-26T00:00:00,2014-03-27T00:00:00,2014-09-26T00:00:00,19,4,Cboe Volatility Index | S&P/BMV IPC | DAX INDEX | Brazilian Real Spot,equal_weight,,unconstrained,7.150524540440826e-05,4.0749042280646885e-05,0.10133488370113726,0.5698748679231123,-8.975864880732667,1.0000000000000002,0.006666666666666667,0.09419359071271455,False,False,0.0002890634546910918,0.10133690790848975,4.709679535635728e-05,0.00028868967060096193,0.10133897585143137,9.419359071271455e-05,0.0002879421024207023,0.10134324293331591,0.0001883871814254291
4,504,2012-03-22T00:00:00,2014-03-26T00:00:00,2014-03-27T00:00:00,2014-09-26T00:00:00,19,4,Cboe Volatility Index | S&P/BMV IPC | DAX INDEX | Brazilian Real Spot,sample_covariance,,unconstrained,1.2711961204231303e-05,2.6304977842011126e-05,0.08141777702803488,2.0693091663350303,-9.203658014300737,4.138576874806036,0.1226045524325374,2.76961109673522,False,False,0.0005065297534812312,0.08122084243829777,0.00138480554836761,0.0004955392332560913,0.08107075195293267,0.00276961109673522,0.00047355819280581185,0.08091206467980969,0.00553922219347044
4,504,2012-03-22T00:00:00,2014-03-26T00:00:00,2014-03-27T00:00:00,2014-09-26T00:00:00,19,4,Cboe Volatility Index | S&P/BMV IPC | DAX INDEX | Brazilian Real Spot,ridge_10pct,,unconstrained,1.519141368745105e-05,2.0022641454738846e-05,0.07103313062644916,1.3180235800752802,-9.77675659863014,3.1113787460575533,0.07470544864953116,1.6541720055584985,False,False,0.0005728031662676595,0.07090211243460041,0.0008270860027792493,0.0005662389916424273,0.07079018105505326,0.0016541720055584985,0.000553110642391963,0.07062392626522648,0.003308344011116997
4,504,2012-03-22T00:00:00,2014-03-26T00:00:00,2014-03-27T00:00:00,2014-09-26T00:00:00,19,4,Cboe Volatility Index | S&P/BMV IPC | DAX INDEX | Brazilian Real Spot,ledoit_wolf,,unconstrained,1.3789747406679982e-05,2.299847709183844e-05,0.07612894473945693,1.6677953854831014,-9.52378979798078,3.6508750687252545,0.09851269808504337,2.2621978542891004,False,False,0.0005413166090730909,0.07595630251792787,0.0011310989271445502,0.0005323396334608326,0.07581702379003422,0.0022621978542891005,0.0005143856822363159,0.0756392498782328,0.004524395708578201
4,504,2012-03-22T00:00:00,2014-03-26T00:00:00,2014-03-27T00:00:00,2014-09-26T00:00:00,19,4,Cboe Volatility Index | S&P/BMV IPC | DAX INDEX | Brazilian Real Spot,oas_shrinkage,,unconstrained,1.3574805525910512e-05,2.3555098593469757e-05,0.07704469381829211,1.7352070752328388,-9.47208794291383,3.7411058273390196,0.10275898447171743,2.3791765482444167,False,False,0.00053523176396845,0.07686524426408303,0.0011895882741222083,0.0005257905871897023,0.0767222730831643,0.0023791765482444167,0.0005069082336322068,0.0765465312913117,0.004758353096488833
4,504,2012-03-22T00:00:00,2014-03-26T00:00:00,2014-03-27T00:00:00,2014-09-26T00:00:00,19,4,Cboe Volatility Index | S&P/BMV IPC | DAX INDEX | Brazilian Real Spot,nonlinear_shrinkage_qis,,unconstrained,1.5722357471768494e-05,2.0042376089488398e-05,0.07106812769836474,1.274769138500829,-9.785657677308734,2.999593675641039,0.07186662725144502,1.585645852054428,False,False,0.0005781100750021948,0.07094442008489998,0.0007928229260272141,0.0005718178295575345,0.07083824518282889,0.0015856458520544282,0.0005592333386682135,0.07067879652121019,0.0031712917041088564
4,504,2012-03-22T00:00:00,2014-03-26T00:00:00,2014-03-27T00:00:00,2014-09-26T00:00:00,19,4,Cboe Volatility Index | S&P/BMV IPC | DAX INDEX | Brazilian Real Spot,pca_matched,,unconstrained,9.178048043208312e-06,3.0072758105849428e-05,0.0870536331388533,3.2765962832481628,-8.322099724151776,2.657026005760508,0.08449459066708577,1.383975181054264,False,False,0.0003097092391783033,0.08692132917292543,0.000691987590527132,0.0003042172741741197,0.08679985757479006,0.001383975181054264,0.0002932333441657525,0.0865895897700221,0.002767950362108528
4,504,2012-03-22T00:00:00,2014-03-26T00:00:00,2014-03-27T00:00:00,2014-09-26T00:00:00,19,4,Cboe Volatility Index | S&P/BMV IPC | DAX INDEX | Brazilian Real Spot,pca_plus_two,,unconstrained,9.42106481187335e-06,2.8196364739063505e-05,0.08429403249485698,2.9929063542294796,-8.579656084180904,2.699615002230007,0.08349496642287664,1.2033930872736296,False,False,0.00034784738945452807,0.08420188866208694,0.0006016965436368148,0.00034307202006058507,0.08411825217634675,0.0012033930872736296,0.0003335212812726991,0.08397660033517024,0.002406786174547259
