training_days,fold_id,date,method,gross_return
504,9,2017-01-24,sample_covariance,-0.006046397449667419
504,9,2017-01-25,sample_covariance,0.0014622911323414517
504,9,2017-01-26,sample_covariance,0.009674327986076484
504,9,2017-01-27,sample_covariance,0.0013895434489260591
504,9,2017-01-30,sample_covariance,0.0025667261749284663
504,9,2017-01-31,sample_covariance,0.010313804252205518
504,9,2017-02-01,sample_covariance,0.0005139196807442218
504,9,2017-02-02,sample_covariance,0.003379623244979575
504,9,2017-02-03,sample_covariance,-0.001524607814779566
504,9,2017-02-06,sample_covariance,1.5019920121005117e-05
504,9,2017-02-07,sample_covariance,0.005348166683377829
504,9,2017-02-08,sample_covariance,0.00587440714516663
504,9,2017-02-09,sample_covariance,0.0045145938087253375
504,9,2017-02-10,sample_covariance,-0.003915173777878634
504,9,2017-02-13,sample_covariance,0.002480375206203322
504,9,2017-02-14,sample_covariance,-0.003676983041884539
504,9,2017-02-15,sample_covariance,0.006713749082491647
504,9,2017-02-16,sample_covariance,0.00590938416596685
504,9,2017-02-17,sample_covariance,0.013707773236439348
504,9,2017-02-22,sample_covariance,0.00048383075631235436
504,9,2017-02-23,sample_covariance,-0.006161830219247245
504,9,2017-02-24,sample_covariance,0.007674108196634786
504,9,2017-02-27,sample_covariance,0.004200240295160924
504,9,2017-02-28,sample_covariance,0.00019723866406270128
504,9,2017-03-01,sample_covariance,-0.004107355078780907
504,9,2017-03-02,sample_covariance,-0.005097494224198029
504,9,2017-03-03,sample_covariance,-0.004100133806517279
504,9,2017-03-06,sample_covariance,-0.006247776679225201
504,9,2017-03-07,sample_covariance,-0.002221799491370611
504,9,2017-03-08,sample_covariance,-0.00036291185843725796
504,9,2017-03-09,sample_covariance,-0.0008858155692717259
504,9,2017-03-10,sample_covariance,0.007104077627118787
504,9,2017-03-13,sample_covariance,0.008243881702167341
504,9,2017-03-14,sample_covariance,0.0018996632267943207
504,9,2017-03-15,sample_covariance,0.0030708110001467876
504,9,2017-03-16,sample_covariance,-0.012302768496281228
504,9,2017-03-17,sample_covariance,0.011599151363635277
504,9,2017-03-20,sample_covariance,0.006774972556258525
504,9,2017-03-21,sample_covariance,-0.005391076209108832
504,9,2017-03-22,sample_covariance,0.009986533297003214
504,9,2017-03-23,sample_covariance,0.0017817500455627794
504,9,2017-03-24,sample_covariance,-6.580834985321507e-05
504,9,2017-03-27,sample_covariance,-0.004714638210237129
504,9,2017-03-28,sample_covariance,0.0015865502469971796
504,9,2017-03-29,sample_covariance,0.005871758810009427
504,9,2017-03-30,sample_covariance,-0.006802094368090854
504,9,2017-03-31,sample_covariance,-0.0020146478955624814
504,9,2017-04-03,sample_covariance,0.0017106386697960502
504,9,2017-04-04,sample_covariance,-0.0003606838466612801
504,9,2017-04-05,sample_covariance,-0.0002939370075549719
504,9,2017-04-06,sample_covariance,-0.001734935566743008
504,9,2017-04-07,sample_covariance,0.00033439290327875397
504,9,2017-04-10,sample_covariance,0.007383644556656339
