training_days,fold_id,panel_a_fold_id,alpha,validation_variance,eigen_floor_activated
504,1,16,0.25,2.9102444308309982e-05,False
504,1,16,0.5,2.7522901638254562e-05,False
504,1,16,0.75,2.9168855959298255e-05,False
504,1,16,0.9,3.308165263863945e-05,False
504,2,17,0.0,2.9000514505598557e-05,False
504,2,17,0.1,2.6157723788076254e-05,False
504,2,17,0.25,2.42370592845967e-05,False
504,2,17,0.5,2.4037102200475002e-05,False
504,2,17,0.75,2.7012071108926515e-05,False
504,2,17,0.9,3.2072894739065153e-05,False
504,3,18,0.0,5.513358185686666e-05,False
504,3,18,0.1,4.988834717166628e-05,False
504,3,18,0.25,4.535832894005778e-05,False
504,3,18,0.5,4.138749881713352e-05,False
504,3,18,0.75,4.0035259450103104e-05,False
504,3,18,0.9,4.141951622079729e-05,False
504,4,20,0.0,3.2585976915308265e-05,False
504,4,20,0.1,2.7642743326775323e-05,False
504,4,20,0.25,2.4353831695571668e-05,False
504,4,20,0.5,2.2674716434575182e-05,False
504,4,20,0.75,2.395106588001659e-05,False
504,4,20,0.9,2.8067893981993153e-05,False
504,5,21,0.0,3.482284839395143e-05,False
504,5,21,0.1,2.7329678281413158e-05,False
504,5,21,0.25,2.3550017140679992e-05,False
504,5,21,0.5,2.275936311705637e-05,False
504,5,21,0.75,2.535447052699552e-05,False
504,5,21,0.9,3.0285560230130843e-05,False
504,6,22,0.0,5.4400058755470684e-05,False
504,6,22,0.1,4.353709023811669e-05,False
504,6,22,0.25,3.810097322579337e-05,False
504,6,22,0.5,3.501519367134671e-05,False
504,6,22,0.75,3.4223977166657954e-05,False
504,6,22,0.9,3.53496910454256e-05,False
504,7,23,0.0,6.690964536618059e-05,False
504,7,23,0.1,6.240401190924713e-05,False
504,7,23,0.25,6.296976454275694e-05,False
504,7,23,0.5,6.729737833496826e-05,False
504,7,23,0.75,7.320433106562897e-05,False
504,7,23,0.9,7.872663154924932e-05,False
504,8,24,0.0,9.552032355379277e-05,False
504,8,24,0.1,6.944833443554422e-05,False
504,8,24,0.25,5.609553754392181e-05,False
504,8,24,0.5,5.0527273327922835e-05,False
504,8,24,0.75,5.226473552948138e-05,False
504,8,24,0.9,5.713986641427737e-05,False
504,9,25,0.0,9.80325058925556e-05,False
504,9,25,0.1,6.358279024367138e-05,False
504,9,25,0.25,4.712332052675095e-05,False
504,9,25,0.5,3.9629119738699976e-05,False
504,9,25,0.75,4.024117235200207e-05,False
504,9,25,0.9,4.671832243098568e-05,False
504,10,26,0.0,4.657432339509409e-05,False
504,10,26,0.1,2.989022940314578e-05,False
504,10,26,0.25,2.273245023568492e-05,False
504,10,26,0.5,2.020529870733362e-05,False
504,10,26,0.75,2.2033947891767665e-05,False
504,10,26,0.9,2.734354949120216e-05,False
504,11,27,0.0,2.056987997669989e-05,False
504,11,27,0.1,1.7806338143104265e-05,False
504,11,27,0.25,1.65847679382949e-05,False
504,11,27,0.5,1.6715278469060218e-05,False
504,11,27,0.75,1.8678200049291073e-05,False
504,11,27,0.9,2.1992360471268254e-05,False
504,12,28,0.0,5.3991980339694384e-05,False
504,12,28,0.1,5.467499266543092e-05,False
504,12,28,0.25,5.6473652974397974e-05,False
504,12,28,0.5,5.8626097091674074e-05,False
504,12,28,0.75,6.049414556738718e-05,False
504,12,28,0.9,6.378462924495796e-05,False
504,13,29,0.0,5.609053708344614e-05,False
504,13,29,0.1,4.1406232129763934e-05,False
504,13,29,0.25,3.347524399635821e-05,False
504,13,29,0.5,3.0332525933580375e-05,False
504,13,29,0.75,3.124843572671379e-05,False
504,13,29,0.9,3.383324059542052e-05,False
504,14,30,0.0,5.749980760906494e-05,False
504,14,30,0.1,4.9527949025210836e-05,False
504,14,30,0.25,4.547010431980302e-05,False
504,14,30,0.5,4.4138310637283254e-05,False
504,14,30,0.75,4.536016523692408e-05,False
504,14,30,0.9,4.862398330652541e-05,False
504,15,31,0.0,6.428613648717263e-05,False
504,15,31,0.1,5.116817201341968e-05,False
504,15,31,0.25,4.408970013335352e-05,False
504,15,31,0.5,4.120856460851179e-05,False
504,15,31,0.75,4.2057234317966405e-05,False
504,15,31,0.9,4.450202677409013e-05,False
504,16,32,0.0,0.000780533024646555,False
504,16,32,0.1,0.0007416792633988163,False
504,16,32,0.25,0.0007028718820480947,False
504,16,32,0.5,0.000660921765402539,False
504,16,32,0.75,0.0006305738040127942,False
504,16,32,0.9,0.00061412559700685,False
504,17,33,0.0,8.706065648974558e-05,False
504,17,33,0.1,7.874892926130576e-05,False
504,17,33,0.25,7.710506352111564e-05,False
504,17,33,0.5,7.831855396668332e-05,False
504,17,33,0.75,8.200708499274403e-05,False
504,17,33,0.9,8.959902887956375e-05,False
504,18,34,0.0,9.333935529521275e-05,False
504,18,34,0.1,7.471905994399888e-05,False
504,18,34,0.25,6.554982846145716e-05,False
504,18,34,0.5,6.219189464542536e-05,False
504,18,34,0.75,6.508076973981398e-05,False
504,18,34,0.9,7.225753815452635e-05,False
504,19,35,0.0,8.014410347088019e-05,False
504,19,35,0.1,5.458821373683232e-05,False
504,19,35,0.25,4.386975611445368e-05,False
504,19,35,0.5,4.059791364803037e-05,False
504,19,35,0.75,4.582377487578828e-05,False
504,19,35,0.9,5.811371905505559e-05,False
504,20,36,0.0,0.00011913461646024556,False
504,20,36,0.1,0.00010655962653556854,False
504,20,36,0.25,9.923979842771255e-05,False
504,20,36,0.5,9.656268702744848e-05,False
504,20,36,0.75,9.743284446314105e-05,False
504,20,36,0.9,0.00010051010496889462,False
504,21,37,0.0,0.00010965764755201477,False
504,21,37,0.1,0.0001018840914879259,False
504,21,37,0.25,9.781250130942181e-05,False
504,21,37,0.5,9.727994969182391e-05,False
504,21,37,0.75,0.00010160905217414457,False
504,21,37,0.9,0.00010945061196945243,False
