panel,training_days,metric,reference,comparison,folds,mean_difference,standard_error,bootstrap_ci_lower,bootstrap_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,sign_flip_p_raw,sign_flip_p_familywise,fraction_reference_better
B,252,qlike,residual_aware_qr,ridge_10pct,23,0.7270843352996452,0.5480862515800717,0.06097804867825641,1.8966839865037006,-0.47940341684127064,1.933572087440561,0.023398830058497074,0.399930003499825,0.391304347826087
B,252,qlike,residual_aware_qr,sample_covariance,23,0.8020124302064009,0.611727639466314,0.06462191426757774,2.1021178051292435,-0.5450709678698089,2.1490958282826105,0.022998850057497126,0.41897905104744765,0.4782608695652174
B,252,qlike,residual_aware_qr,structured_q0,23,-2.1603002779343963,1.1220855893865247,-4.549232097691672,-0.6720768018509509,-4.627103085166304,0.3065025292975112,9.99950002499875e-05,0.06709664516774161,0.7391304347826086
B,504,realized_variance,residual_aware_qr,equal_weight,21,-5.1623483110391546e-05,1.0595560575777471e-05,-7.355452006365594e-05,-3.328616187846808e-05,-7.839053313858928e-05,-2.485643308219381e-05,4.999750012499375e-05,4.999750012499375e-05,0.9523809523809523
B,504,realized_variance,residual_aware_qr,ledoit_wolf,21,8.09361837142592e-07,1.7559909304613508e-06,-2.301762040336771e-06,4.488271806462117e-06,-3.669240092243709e-06,5.2879637665288925e-06,0.6728163591820409,1.0,0.42857142857142855
B,504,realized_variance,residual_aware_qr,nonlinear_shrinkage_qis,21,3.237730291377855e-08,1.3074234119338852e-06,-2.3958401455742013e-06,2.6911907767566e-06,-3.2709913056324742e-06,3.3357459114600315e-06,0.9807009649517524,1.0,0.5238095238095238
B,504,realized_variance,residual_aware_qr,oas_shrinkage,21,3.8181895275595364e-07,2.0105875900981905e-06,-3.1946888583761624e-06,4.5681131017448955e-06,-4.73314597345268e-06,5.496783878964587e-06,0.871906404679766,1.0,0.47619047619047616
B,504,realized_variance,residual_aware_qr,pca_matched,21,-1.057565933794601e-05,4.344075015751418e-06,-2.0669987354744423e-05,-4.226670212893331e-06,-2.1736929734181156e-05,5.856110582891381e-07,0.000199990000499975,0.06019699015049248,0.9047619047619048
B,504,realized_variance,residual_aware_qr,pca_plus_two,21,-5.630414253234886e-06,2.7429642211035116e-06,-1.1456139361697309e-05,-9.064573520327861e-07,-1.2625509801445252e-05,1.3646812949754795e-06,0.03859807009649518,0.16599170041497924,0.7142857142857143
B,504,realized_variance,residual_aware_qr,poet_soft_c0_5,21,-1.2690169098566849e-08,2.1039643267643173e-06,-3.6384065887271756e-06,4.512782732996455e-06,-5.381278177711502e-06,5.3558978395143685e-06,0.9961501924903755,1.0,0.8095238095238095
B,504,realized_variance,residual_aware_qr,ridge_10pct,21,3.846295625995425e-07,1.2265373860507097e-06,-1.8314964589344074e-06,2.934560774262948e-06,-2.7308070968223132e-06,3.5000662220213984e-06,0.7684615769211539,1.0,0.42857142857142855
B,504,realized_variance,residual_aware_qr,sample_covariance,21,7.696547795043042e-07,2.513917415003556e-06,-3.4722839914550416e-06,6.263827569662722e-06,-5.6383516755377925e-06,7.1776612345464e-06,0.8046097695115244,1.0,0.5714285714285714
B,504,realized_variance,residual_aware_qr,structured_q0,21,-1.0353409658894088e-05,6.411336934498887e-06,-2.431933069234309e-05,-2.0657828841508557e-06,-2.68087569489272e-05,6.1019376311390225e-06,0.004899755012249388,0.4045297735113244,0.8095238095238095
B,504,qlike,residual_aware_qr,equal_weight,21,0.19150921159675605,0.6609987090208508,-0.6367582268179278,1.6018152718154548,-1.2170716749685957,1.6000900981621078,0.9983000849957502,1.0,0.7619047619047619
B,504,qlike,residual_aware_qr,ledoit_wolf,21,0.39867038840968716,0.2713972873862907,0.020909650678245274,0.9920873166573266,-0.18121410889216583,0.9785548857115401,0.045647717614119294,0.24173791310434478,0.38095238095238093
B,504,qlike,residual_aware_qr,nonlinear_shrinkage_qis,21,0.37653636101627824,0.2444309422989222,0.02708917582226006,0.9165841522817493,-0.14600320815877282,0.8990759301913294,0.036098195090245484,0.19069046547672616,0.38095238095238093
B,504,qlike,residual_aware_qr,oas_shrinkage,21,0.4038816925687068,0.27986603767219415,0.0150880753024489,1.0160144668798161,-0.19413533223821405,1.0018987173756277,0.058847057647117645,0.26288685565721714,0.38095238095238093
B,504,qlike,residual_aware_qr,pca_matched,21,-0.9832195004138645,0.6946351807655042,-2.4487877064797265,-0.1318657425787198,-2.4685147049117804,0.5020757040840512,0.0034998250087495625,0.2894355282235888,0.7142857142857143
B,504,qlike,residual_aware_qr,pca_plus_two,21,0.13267220507540559,0.12479214070267604,-0.0726743247113299,0.39927472110311474,-0.1363632305127516,0.4017076406635628,0.41162941852907353,0.8331583420828959,0.6190476190476191
B,504,qlike,residual_aware_qr,poet_soft_c0_5,21,0.2495043137700875,0.17008231899170292,-0.011069431490298156,0.623053134544087,-0.11478685740558839,0.6137954849457634,0.14069296535173242,0.24378781060946952,0.5238095238095238
B,504,qlike,residual_aware_qr,ridge_10pct,21,0.34538672087586875,0.2229981276550959,0.024189036862346837,0.8355486144860895,-0.1315332126838033,0.8223066544355409,0.035798210089495526,0.1855407229638518,0.3333333333333333
B,504,qlike,residual_aware_qr,sample_covariance,21,0.4306977711219918,0.30172931559281024,0.017871961740607307,1.09007277525346,-0.21380439108519922,1.0751999333291828,0.05619719014049297,0.2774361281935903,0.38095238095238093
B,504,qlike,residual_aware_qr,structured_q0,21,-2.662029689257556,1.8486478381825961,-6.535758765221265,-0.4412520557349902,-6.6067503097765305,1.2826909312614188,9.99950002499875e-05,0.26618669066546674,0.7619047619047619
