panel,training_days,metric,reference,comparison,folds,mean_difference,standard_error,bootstrap_ci_lower,bootstrap_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,sign_flip_p_raw,sign_flip_p_familywise,fraction_reference_better
B,252,qlike,residual_aware_qr,equal_weight,23,1.1897931820249492,1.0380945006953837,-0.24813216562377746,3.4651528357677055,-1.323713716270531,3.7033000803204295,0.28193590320483974,0.8496575171241438,0.5217391304347826
B,252,qlike,residual_aware_qr,ledoit_wolf,23,-0.03518964196858482,0.36854062268682286,-0.5719668504947217,0.7720253889326428,-0.9281445750787234,0.8577652911415536,0.9775011249437529,1.0,0.7391304347826086
B,252,qlike,residual_aware_qr,nonlinear_shrinkage_qis,23,0.7208406553470558,0.4774568200292299,0.06650325539325197,1.7570527548517192,-0.4356254790600499,1.8773067897541615,0.048947552622368884,0.42447877606119694,0.5217391304347826
B,252,qlike,residual_aware_qr,oas_shrinkage,23,-0.6824794715160919,0.36315755905045505,-1.2445212063138442,0.0994341856654782,-1.5594839863538328,0.194525043321649,0.06269686515674217,0.16759162041897904,0.8260869565217391
B,252,qlike,residual_aware_qr,pca_matched,23,-4.650003033943223,2.069305617830523,-9.093173008487215,-2.0154105290654947,-9.640189122271504,0.340183054385057,4.999750012499375e-05,0.07489625518724063,1.0
B,252,qlike,residual_aware_qr,pca_plus_two,23,-1.5568817201270244,0.3370405848612464,-2.269012124609112,-0.94245333772678,-2.390559299688803,-0.7232041405652454,9.99950002499875e-05,0.00034998250087495624,0.9130434782608695
B,252,qlike,residual_aware_qr,poet_soft_c0_5,23,0.30246044195940036,0.3345115034402303,-0.1819238430745901,1.0465539625142466,-0.5133062672840529,1.1182271512028537,0.536023198840058,0.9827508624568772,0.6086956521739131
B,252,qlike,residual_aware_qr,ridge_10pct,23,0.37518483592472934,0.4374763313920934,-0.22553723233311704,1.3254348923661572,-0.684700941927628,1.4350706137770868,0.5957202139893005,0.9914004299785011,0.6521739130434783
B,252,qlike,residual_aware_qr,sample_covariance,23,-6.184794263486212,0.5553978008101259,-7.278789822967219,-5.158736992904486,-7.533038003560614,-4.836550523411809,4.999750012499375e-05,4.999750012499375e-05,1.0
B,252,qlike,residual_aware_qr,structured_q0,23,-4.947558903465386,2.0793973390570795,-9.409457248720846,-2.2719055257223038,-9.97150583001487,0.07638802308409876,4.999750012499375e-05,0.05474726263686815,0.9565217391304348
B,504,realized_variance,residual_aware_qr,equal_weight,21,-6.150095511100852e-05,1.445435528628485e-05,-9.202441332441961e-05,-3.692227624297155e-05,-9.587600884473044e-05,-2.7125901377286594e-05,4.999750012499375e-05,0.00014999250037498125,0.9523809523809523
B,504,realized_variance,residual_aware_qr,ledoit_wolf,21,-1.239583110087534e-06,3.657594331618248e-06,-6.949058712921879e-06,6.8800202948050696e-06,-1.0051965175483043e-05,7.572798955307975e-06,0.8332583370831459,1.0,0.7619047619047619
B,504,realized_variance,residual_aware_qr,nonlinear_shrinkage_qis,21,-1.477109314890261e-07,2.4254331970938006e-06,-4.190673668643796e-06,5.083963334892276e-06,-5.990989936114335e-06,5.695568073136282e-06,0.95975201239938,1.0,0.8095238095238095
B,504,realized_variance,residual_aware_qr,oas_shrinkage,21,-4.784429894575923e-06,4.169380201256034e-06,-1.1478806417771748e-05,4.5062902185637845e-06,-1.476820433214931e-05,5.199344542997464e-06,0.27958602069896504,0.8582070896455177,0.8571428571428571
B,504,realized_variance,residual_aware_qr,pca_matched,21,-2.7315454052889165e-05,9.208000778590661e-06,-4.7800946605347055e-05,-1.3481760406449001e-05,-4.9532973985196524e-05,-5.097934120581805e-06,4.999750012499375e-05,0.008199590020498975,0.9523809523809523
B,504,realized_variance,residual_aware_qr,pca_plus_two,21,-1.8680410437427586e-05,5.320312105915166e-06,-3.0132131080644147e-05,-9.948558381765349e-06,-3.1407133743488424e-05,-5.9536871313667495e-06,9.99950002499875e-05,0.0012999350032498376,0.9047619047619048
